age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,2,73,221,-1,-1,0,-1
2,1,2,72,252,-1,-1,0,-1
2,1,2,151,217,-1,-1,0,-1
2,1,2,49,311,-1,-1,0,-1
2,1,2,88,349,-1,-1,0,-1
2,1,2,43,269,-1,-1,0,-1
2,1,2,78,307,-1,-1,0,-1
2,1,2,120,342,-1,-1,0,-1
2,1,2,84,254,-1,-1,0,-1
2,1,2,128,227,-1,-1,0,-1
2,1,2,139,338,-1,-1,0,-1
2,1,2,51,280,-1,-1,0,-1
2,1,2,155,255,-1,-1,0,-1
2,1,2,82,296,-1,-1,0,-1
2,1,2,126,288,-1,-1,0,-1
2,1,2,141,240,-1,-1,0,-1
2,1,2,69,224,-1,-1,0,-1
2,1,2,67,259,-1,-1,0,-1
2,1,2,80,264,-1,-1,0,-1
2,1,2,42,250,-1,-1,0,-1
2,1,2,75,246,-1,-1,0,-1
2,1,2,129,281,-1,-1,0,-1
2,1,2,57,234,-1,-1,0,-1
2,1,2,96,228,-1,-1,0,-1
2,1,2,174,255,-1,-1,0,-1
2,1,2,68,250,-1,-1,0,-1
2,1,2,156,304,-1,-1,0,-1
2,1,2,43,352,-1,-1,0,-1
2,1,2,112,247,-1,-1,0,-1
2,1,2,89,217,-1,-1,0,-1
2,1,2,99,301,-1,-1,0,-1
2,1,2,83,312,-1,-1,0,-1
2,1,2,51,292,-1,-1,0,-1
2,1,2,173,263,-1,-1,0,-1
2,1,2,147,223,-1,-1,0,-1
2,2,2,164,237,-1,-1,0,-1
2,1,2,134,347,-1,-1,0,-1
2,1,2,52,310,-1,-1,0,-1
2,1,2,40,329,-1,-1,0,-1
2,1,2,141,245,-1,-1,0,-1
2,1,2,164,250,-1,-1,0,-1
2,1,2,168,359,-1,-1,0,-1
2,1,2,42,246,-1,-1,0,-1
2,2,2,134,221,-1,-1,0,-1
2,1,2,167,363,-1,-1,0,-1
2,1,2,125,329,-1,-1,0,-1
2,1,2,136,291,-1,-1,0,-1
2,1,2,102,253,-1,-1,0,-1
2,1,2,166,294,-1,-1,0,-1
2,1,2,173,329,-1,-1,0,-1
2,1,2,73,266,-1,-1,0,-1
2,1,2,138,317,-1,-1,0,-1
2,1,2,80,239,-1,-1,0,-1
2,1,2,140,349,-1,-1,0,-1
2,1,2,130,289,-1,-1,0,-1
2,1,2,40,335,-1,-1,0,-1
2,1,2,146,296,-1,-1,0,-1
2,1,2,94,298,-1,-1,0,-1
2,1,2,160,299,-1,-1,0,-1
2,1,2,118,251,-1,-1,0,-1
2,1,2,111,349,-1,-1,0,-1
2,1,2,90,310,-1,-1,0,-1
2,1,2,74,340,-1,-1,0,-1
2,1,2,45,233,-1,-1,0,-1
2,1,2,59,293,-1,-1,0,-1
2,1,2,54,285,-1,-1,0,-1
2,1,2,160,322,-1,-1,0,-1
2,1,2,55,302,-1,-1,0,-1
2,1,2,161,249,-1,-1,0,-1
2,1,2,162,263,-1,-1,0,-1
2,1,2,170,251,-1,-1,0,-1
2,1,2,109,345,-1,-1,0,-1
2,1,2,65,354,-1,-1,0,-1
2,1,2,69,272,-1,-1,0,-1
2,1,2,143,323,-1,-1,0,-1
2,1,2,120,323,-1,-1,0,-1
2,1,2,130,254,-1,-1,0,-1
2,1,2,167,330,-1,-1,0,-1
2,1,2,99,334,-1,-1,0,-1
2,1,2,127,235,-1,-1,0,-1
2,1,2,95,333,-1,-1,0,-1
2,1,2,60,222,-1,-1,0,-1
2,1,2,87,233,-1,-1,0,-1
2,1,2,41,280,-1,-1,0,-1
2,1,2,150,308,-1,-1,0,-1
2,1,2,82,270,-1,-1,0,-1
2,1,2,106,295,-1,-1,0,-1
2,1,2,171,293,-1,-1,0,-1
2,1,2,154,356,-1,-1,0,-1
2,1,2,54,249,-1,-1,0,-1
2,1,2,86,324,-1,-1,0,-1
2,1,2,172,327,-1,-1,0,-1
2,1,2,42,356,-1,-1,0,-1
2,1,2,122,303,-1,-1,0,-1
2,1,2,146,312,-1,-1,0,-1
2,1,2,120,273,-1,-1,0,-1
2,1,2,97,286,-1,-1,0,-1
2,1,2,151,255,-1,-1,0,-1
2,1,2,133,349,-1,-1,0,-1
2,1,2,181,319,-1,-1,0,-1
2,1,2,123,309,-1,-1,0,-1
2,1,2,174,246,-1,-1,0,-1
2,1,2,52,307,-1,-1,0,-1
2,1,2,142,275,-1,-1,0,-1
2,1,2,89,227,-1,-1,0,-1
2,1,2,119,313,-1,-1,0,-1
2,1,2,137,285,-1,-1,0,-1
2,1,2,136,309,-1,-1,0,-1
2,1,2,146,303,-1,-1,0,-1
2,1,2,100,345,-1,-1,0,-1
2,1,2,94,235,-1,-1,0,-1
2,1,2,77,316,-1,-1,0,-1
2,1,2,178,272,-1,-1,0,-1
2,1,2,94,348,-1,-1,0,-1
2,1,2,75,263,-1,-1,0,-1
2,1,2,128,293,-1,-1,0,-1
2,1,2,96,355,-1,-1,0,-1
3,1,2,161,331,-1,-1,0,-1
3,1,2,146,236,-1,-1,0,-1
3,1,2,170,315,-1,-1,0,-1
3,1,2,152,268,-1,-1,0,-1
3,1,2,92,337,-1,-1,0,-1
3,1,2,162,325,-1,-1,0,-1
3,1,2,174,263,-1,-1,0,-1
3,1,2,160,253,-1,-1,0,-1
3,1,2,81,318,-1,-1,0,-1
3,1,2,124,341,-1,-1,0,-1
3,1,2,43,240,-1,-1,0,-1
3,1,2,70,342,-1,-1,0,-1
3,1,2,138,267,-1,-1,0,-1
3,1,2,159,307,-1,-1,0,-1
3,1,2,118,277,-1,-1,0,-1
3,1,2,122,318,-1,-1,0,-1
3,1,2,154,253,-1,-1,0,-1
3,1,2,166,270,-1,-1,0,-1
3,1,2,171,302,-1,-1,0,-1
3,1,2,161,285,-1,-1,0,-1
3,1,2,147,293,-1,-1,0,-1
3,1,2,57,253,-1,-1,0,-1
3,1,2,138,236,-1,-1,0,-1
3,1,2,49,251,-1,-1,0,-1
3,1,2,121,231,-1,-1,0,-1
3,1,2,155,310,-1,-1,0,-1
3,1,2,35,220,-1,-1,0,-1
3,1,2,100,350,-1,-1,0,-1
3,1,2,66,279,-1,-1,0,-1
3,1,2,64,247,-1,-1,0,-1
3,1,2,122,236,-1,-1,0,-1
3,1,2,176,354,-1,-1,0,-1
3,1,2,109,345,-1,-1,0,-1
3,1,2,51,244,-1,-1,0,-1
3,1,2,130,251,-1,-1,0,-1
3,1,2,163,298,-1,-1,0,-1
3,1,2,127,302,-1,-1,0,-1
3,1,2,142,240,-1,-1,0,-1
3,1,2,76,271,-1,-1,0,-1
3,1,2,174,250,-1,-1,0,-1
3,1,2,131,308,-1,-1,0,-1
3,2,2,117,286,-1,-1,0,-1
3,1,2,175,285,-1,-1,0,-1
3,1,2,88,260,-1,-1,0,-1
3,1,2,83,310,-1,-1,0,-1
3,1,2,120,316,-1,-1,0,-1
3,1,2,105,302,-1,-1,0,-1
3,1,2,54,355,-1,-1,0,-1
3,1,2,160,310,-1,-1,0,-1
3,1,2,52,333,-1,-1,0,-1
3,1,2,113,351,-1,-1,0,-1
3,1,2,110,302,-1,-1,0,-1
3,1,2,88,232,-1,-1,0,-1
3,1,2,145,235,-1,-1,0,-1
3,1,2,172,300,-1,-1,0,-1
3,1,2,154,336,-1,-1,0,-1
3,1,2,110,345,-1,-1,0,-1
3,1,2,167,327,-1,-1,0,-1
3,1,2,49,342,-1,-1,0,-1
3,1,2,162,292,-1,-1,0,-1
3,1,2,164,255,-1,-1,0,-1
3,1,2,145,339,-1,-1,0,-1
3,1,2,108,267,-1,-1,0,-1
3,1,2,131,234,-1,-1,0,-1
3,1,2,90,223,-1,-1,0,-1
3,1,2,141,306,-1,-1,0,-1
3,1,2,77,356,-1,-1,0,-1
3,1,2,85,341,-1,-1,0,-1
3,1,2,121,311,-1,-1,0,-1
3,1,2,174,283,-1,-1,0,-1
3,1,2,173,333,-1,-1,0,-1
3,1,2,43,325,-1,-1,0,-1
3,1,2,62,249,-1,-1,0,-1
3,1,2,155,245,-1,-1,0,-1
3,1,2,68,340,-1,-1,0,-1
3,1,2,80,246,-1,-1,0,-1
3,1,2,50,278,-1,-1,0,-1
3,1,2,85,289,-1,-1,0,-1
3,1,2,126,361,-1,-1,0,-1
3,1,2,142,330,-1,-1,0,-1
3,1,2,63,277,-1,-1,0,-1
3,1,2,87,266,-1,-1,0,-1
3,1,2,42,334,-1,-1,0,-1
3,1,2,176,275,-1,-1,0,-1
3,1,2,94,241,-1,-1,0,-1
3,1,2,52,343,-1,-1,0,-1
3,1,2,91,293,-1,-1,0,-1
3,1,2,171,319,-1,-1,0,-1
3,1,2,119,224,-1,-1,0,-1
3,1,2,140,277,-1,-1,0,-1
3,1,2,95,283,-1,-1,0,-1
3,1,2,88,233,-1,-1,0,-1
3,1,2,36,343,-1,-1,0,-1
3,1,2,60,245,-1,-1,0,-1
3,1,2,39,333,-1,-1,0,-1
3,1,2,71,253,-1,-1,0,-1
3,1,2,140,289,-1,-1,0,-1
3,1,2,156,333,-1,-1,0,-1
3,1,2,146,219,-1,-1,0,-1
3,1,2,36,296,-1,-1,0,-1
3,1,2,91,294,-1,-1,0,-1
3,1,2,83,329,-1,-1,0,-1
3,1,2,72,246,-1,-1,0,-1
3,1,2,71,325,-1,-1,0,-1
3,1,2,85,266,-1,-1,0,-1
3,1,2,102,234,-1,-1,0,-1
3,1,2,68,332,-1,-1,0,-1
3,1,2,80,308,-1,-1,0,-1
3,1,2,132,309,-1,-1,0,-1
3,1,2,165,216,-1,-1,0,-1
3,1,2,68,290,-1,-1,0,-1
3,1,2,81,240,-1,-1,0,-1
3,1,2,89,335,-1,-1,0,-1
3,1,2,126,270,-1,-1,0,-1
3,1,2,179,221,-1,-1,0,-1
3,1,2,78,346,-1,-1,0,-1
3,1,2,162,250,-1,-1,0,-1
3,1,2,77,282,-1,-1,0,-1
3,1,2,133,225,-1,-1,0,-1
3,1,2,153,255,-1,-1,0,-1
3,1,2,121,281,-1,-1,0,-1
3,1,2,106,307,-1,-1,0,-1
3,1,2,134,351,-1,-1,0,-1
3,1,2,105,253,-1,-1,0,-1
3,1,2,113,320,-1,-1,0,-1
3,1,2,113,279,-1,-1,0,-1
3,1,2,159,278,-1,-1,0,-1
3,1,2,160,342,-1,-1,0,-1
3,1,2,151,253,-1,-1,0,-1
3,1,2,48,337,-1,-1,0,-1
3,1,2,81,353,-1,-1,0,-1
3,1,2,166,247,-1,-1,0,-1
3,1,2,96,310,-1,-1,0,-1
3,1,2,115,244,-1,-1,0,-1
3,1,2,137,354,-1,-1,0,-1
3,1,2,62,242,-1,-1,0,-1
3,1,2,42,253,-1,-1,0,-1
3,1,2,68,302,-1,-1,0,-1
3,1,2,141,302,-1,-1,0,-1
3,1,2,49,288,-1,-1,0,-1
3,1,2,181,315,-1,-1,0,-1
3,1,2,162,258,-1,-1,0,-1
3,1,2,57,343,-1,-1,0,-1
3,1,2,103,309,-1,-1,0,-1
3,1,2,170,271,-1,-1,0,-1
3,1,2,151,326,-1,-1,0,-1
3,1,2,106,322,-1,-1,0,-1
3,1,2,108,260,-1,-1,0,-1
3,1,2,136,339,-1,-1,0,-1
3,1,2,66,220,-1,-1,0,-1
3,1,2,68,315,-1,-1,0,-1
